title,company,city,state,zipcode,payLow,payHigh,payType,description
Find jobs with Flexible Hours!,Indeed Gigs,California,null,null,0,0,null,Whether it’s hiring for online work from home part time entry level or no experience jobs you get to set your own schedule!
Mailroom Clerk,Stone Tools Supplies Inc.,Los Angeles,CA,null,24,38,hour,The Mailroom Clerk is responsible for opening sorting and preparing all incoming mail for image scanning as well as storing and cleaning these documents.
Traffic Control Flagger,PG&E Corporation,Antioch,CA,94509,0,0,null,Gas Operations is responsible for all aspects of PG&E's gas distribution and transmission operations including planning engineering maintenance and…
Natural Resources Specialist,US Bureau of Land Management,Barstow,CA,null,44740,81805,year,All U.S. Citizens - No previous Federal Service is required.CTAP 
and ICTAP candidates in the local commuting area.
Park Ranger (Protection),US National Park Service,San Francisco,CA,null,29.84,34.23,hour,null
Investigative Assistant (OA),US Drug Enforcement Administration,Riverside,CA,null,46295,66872,year,null
Human Resources Specialist Entry Level,U.S. Government,Inglewood,CA,null,Up,7000,month,You’ll conduct force protection anti-terrorism area security and police intelligence operations.You’ll be trained in document preparation drafting requests…
Biological Science Technician,US National Park Service,Barstow,CA,null,46295,60183,year,Open to the public and ICTAP/CTAP (Interagency/Career Transition Assistance Program) eligibles.
INVESTIGATOR,US Defense Counterintelligence and Security Agency,Sacramento,CA,null,49014,63714,year,null
Biological Science Technician,U.S. Fish and Wildlife Service,Lodi,CA,null,49458,71441,year,Open to all U.S. Citizens.
Entry Level Careers,U.S. Government,Los Angeles,CA,null,Up,7000,month,You’ll conduct force protection anti-terrorism area security and police intelligence operations.Los Angeles CA: Reliably commute or willing to relocate…
Forestry Technician (Engine Captain) (Direct Hire Authority),US National Park Service,Agoura Hills,CA,null,44740,64410,year,Applications will be accepted from any U.S. Citizen.
Remote Unemployment Claims Reviewer,swipejobs,Remote in,null,null,20,20,hour,Proficient technical writing skills to support detailed case notes.Agent is responsible for reviewing unemployment insurance claims with outstanding issues to…
Program Analyst,US Occupational Safety and Health Administration,San Diego,CA,null,61636,80128,year,This vacancy is open to U.S. Citizens; Interagency Career Transition Assistance Program (ICTAP) and Career Transition Assistance Program (CTAP) eligibles in the…
Originals Reporting Analyst,Hulu,Santa Monica,CA,90404,0,0,null,In this role you will build and maintain reports dashboards and analysis that are distributed to stakeholders and leadership on regular cadence.
Client Advisor,Louis Vuitton,Costa Mesa,CA,92626,0,0,null,By striving to discover your Clients and their every need you will tailor their experience within 
our store in order to elevate their experience and impression…
Trust & Safety Processor (Part,Snapchat,Los Angeles,CA,90291,0,0,null,Prior social work family services or public safety work experience.A background in either public safety (i.e. former/inactive law enforcement) social work…
BACKGROUND DESIGNER,Nickelodeon Animation,Burbank,CA,91502,0,0,null,Knowledge of or willingness to learn applicable design software and hardware.Resolve design problems with creative supervisors.Ensure all deadlines are met.
Community Development Technician,City of Fremont,Fremont,CA,94538,78149,94990,year,The Community Development Department is recruiting for Community Development Technician.Individuals receiving conditional offers of employment from the City…
Research Associate Scientist,BioPhase,San Francisco,CA,null,60000,200000,year,Analytical Development RA and Scientist-levels.Process Development RA and Scientist-levels.All candidates are to show proof of Covid vaccinations.
Writing Apprentice,Netflix Animation,Los Angeles,CA,null,0,0,null,While in the Program the apprentice is embedded in production from day one receiving invaluable hands-on experience developing and pitching ideas writing…
A&R Assistant,Warner Music Group,Los Angeles,CA,90028,0,0,null,Maintain and develop relationships directly with artists.Experience using industry tools such as Nielsen Music Connect Mediabase etc.
Investigator,CA Department of Insurance,Sacramento,CA,95814,5003,9087,month,Our “plain clothes” Investigators are sworn peace officers who conduct criminal 
investigations serve search and arrest warrants conduct undercover and…
Biological Science Technician,US National Park Service,Barstow,CA,null,46295,60183,year,Open to the public and ICTAP/CTAP (Interagency/Career Transition Assistance Program) eligibles.
Administrative Assistant Nonfiction (Hulu),Hulu,Santa Monica,CA,null,0,0,null,As an Administrative Assistant at Hulu you will materially impact the productivity and efficiency of the team as well as gain valuable experience in the…
Environmental Sustainability Analyst,City of Malibu CA,Malibu,CA,null,79563,103812,year,null
Originals Reporting Analyst,Hulu,Santa Monica,CA,90404,0,0,null,In this role you will build and maintain reports dashboards and analysis that are distributed to stakeholders and leadership on regular cadence.
Ecologist,US National Park Service,Ventura,CA,null,51444,98970,year,U.S. Citizens Nationals or those who owe allegiance to the U.S.
Supervisory Recreation Fee Technician,US National Park Service,Sequoia National,CA,null,48378,62894,year,U.S. Citizens Nationals or those who owe allegiance to the U.S.
Professional Test Scorer (Remote),Pearson,Remote in,CA,null,0,0,null,Conferred a minimum of a bachelor's degree from an accredited college.Access to a personal computer that meets the requirements of the scoring system internet…
City Clerk,City of Palm Springs CA,Palm Springs,CA,null,126432,169956,year,Serving under the general direction of the Deputy City Manager and at the pleasure of the City Manager the City Clerk will be expected to lead the Office of…
Deputy Probation Officer I,Placer County,Auburn,CA,null,58739,73362,year,null
Program Analyst,US Occupational Safety and Health Administration,San Diego,CA,null,61636,80128,year,This vacancy is open to U.S. Citizens; Interagency Career Transition Assistance Program (ICTAP) and Career Transition Assistance Program (CTAP) eligibles in the…
IMMIGRATION SERVICES OFFICER,US Citizenship and Immigration Services,San Jose,CA,null,67226,126742,year,null
Limited Series & Movies Development Trainee – Spring 2022,Sony Pictures Entertainment Inc.,Remote in,CA,null,0,0,null,Bachelor's degree or Master in a relevant field of study.Reading submissions and writing coverage.Local 174 applicants and employees must submit proof of…
JAILER,Huntington Park,Huntington Park,CA,90255,5256,5256,month,Under direction of the Police Management this non-sworn non-peace officer uniformed position operates the Police Department jail facility; receive and…
Storyboard Revisionist (Kamp Koral),Nickelodeon Animation,Burbank,CA,91502,0,0,null,Knowledge of or willingness to learn applicable design software and hardware.Meet with creative supervisors; discuss and implement necessary storyboard…
Human Resources Specialist Entry Level,U.S. Government,Inglewood,CA,null,Up,7000,month,You’ll conduct force protection anti-terrorism area security and police intelligence operations.You’ll be trained in document preparation drafting requests…
Warehouse Package Handler,FedEx Ground PH US,Palmdale,CA,93551,0,0,null,Valuable employee discounts on things like cell phone plans electronics cars and restaurants.Competitive wages paid weekly for both full and part time…
Natural Resources Specialist,US Bureau of Land Management,Barstow,CA,null,44740,81805,year,All U.S. Citizens - No previous Federal Service is required.CTAP 
and ICTAP candidates in the local commuting area.
Entry Level Careers,U.S. Government,Los Angeles,CA,null,Up,7000,month,You’ll conduct force protection anti-terrorism area security and police intelligence operations.Los Angeles CA: Reliably commute or willing to relocate…
Bookseller (Seasonal),Barnes & Noble College,Riverside,CA,92521,0,0,null,Assist with processing sales transactions involving cash credit or financial aid payments.Our stores comply with all applicable federal state and local…
SUPERVISORY RECORDS MANAGEMENT SPECIALIST,US Citizenship and Immigration Services,San Francisco,CA,null,97490,126742,year,null
COVID,United Care Line,Los Angeles,CA,null,20,40,hour,Maintains appropriate inventory levels to ensure that specimens can be collected as required all clerical duties can be performed and the collection site can…
Park Maintenance Worker I,City of Fremont,Fremont,CA,94538,63378,77024,year,The Community Services Department is recruiting for Park Maintenance Worker I.Individuals receiving conditional offers of employment from the City who do not…
Park Maintenance Worker I,City of Fremont,Fremont,CA,94538,63378,77024,year,The Community Services Department is recruiting for Park Maintenance Worker I.Individuals receiving conditional offers of employment from the City who do not…
Florence At Home Advisor,Florence Inc.,Remote in,CA,null,25,25,hour,You'll also work hand-in-glove with in-clinic and other offsite staff throughout each day through Florence's medical records system and internal company-wide…
Office Technician**New Opening**,Los Angeles Unified School District,Los Angeles,CA,90017,15.77,21.51,hour,Responding to employee/public inquiries by telephone and in person to provide or request information.Individuals selected for this position will perform…
Public Information Assistant,Placer County,Auburn,CA,null,75629,94432,year,The WPWMA is currently developing design construction and operations contracts while conducting environmental review of expansion concepts addressing regional…
Office Technician (Typing) (JC,California Water Resources Control Board,Sacramento,CA,95814,3287,4114,month,If the position requires driving you must possess a current and valid driver’s license.Under the direction of the Staff Services Manager I the Office…
Administrative Support Assistant (OA),US National Park Service,Mineral,CA,null,36118,52341,year,Open to all U.S. Citizens.
Digital Store Support Coordinator Client Care Services Wes...,Louis Vuitton,San Dimas,CA,null,0,0,null,A Prior retail experience in a luxury brand is a plus.By joining Louis Vuitton you will receive a generous benefit’s package* including but not limited to…
Dispatcher,Amazon DSP,Bloomington,CA,92316,0,0,null,Receiving emergency and non-emergency calls and recording significant information.Enter data in the computer system and maintain logs and records of calls…
Forensic Pathologist,Stanislaus County,Oakdale,CA,null,293134,439691,year,null
LOCAL 174 Mail Clerk,Sony Pictures Entertainment Inc.,Culver City,CA,null,0,0,null,The applicant must have good customer service skills; will be answering telephone inquiries and will be in contact with all levels of employment.
Ramp Agent,Southwest Airlines,Ontario,CA,91761,15,15,hour,LICENSING/CERTIFICATION Must possess a valid state motor vehicle operator’s license Must be able to obtain a SIDA badge and meet all local airport requirements…
Streaming Media Assistant,Disney Streaming,San Francisco,CA,null,0,0,null,A solid computer and technical background with experience working in digital media and online organizations.SMA's routinely provide live hands-on operational…
Department Assistant Creative Content,Paramount Pictures,Los Angeles,CA,90038,0,0,null,Contribute creatively to conversations and brainstorms around marketing strategy and EPK pertaining to content capture and special shoot materials.
Eligibility Specialist,Placer County,Auburn,CA,null,42432,42432,year,This recruitment may be used to fill both permanent and temporary/extra help vacancies 
as they are available.Temporary/Extra-help assignments are limited to 28…
City Manager,City of Pasadena CA,Pasadena,CA,null,301930,301930,year,null
City Manager,City of Pasadena CA,Pasadena,CA,null,301930,301930,year,null
Office Specialist I/II (Mail Center),Valley Water,San Jose,CA,95118,5113,6547,month,Possession of or ability to obtain an appropriate valid California driver's license.The incumbent will process and route incoming Valley Water mail prepare…
Global Intelligence Analyst,Dolby,San Francisco,CA,null,0,0,null,Conduct risk reviews of license requests.Perform root-cause analysis develop logical conclusions and suggest appropriate workarounds.
Marine Interdiction Agent,US Customs and Border Protection,Long Beach,CA,null,56551,72970,year,U.S. Citizens Nationals or those who owe allegiance to the U.S.
Deputy City Clerk,City of Malibu CA,Malibu,CA,null,67059,87495,year,null
Bookseller,Barnes & Noble,Sacramento,CA,95815,0,0,null,Educate yourself continuously on books and the industry supporting the store with this knowledge to give customers a great experience when they visit and shop.
Customer Service Representative,Hot Topic Inc.,Remote in,CA,null,0,0,null,As a Customer Service Representative (CSR) you’ll field a high volume of calls emails and social media inquiries resolving customer issues and provide…
Group Program Manager,County of San Diego,San Diego,CA,null,108000,115000,year,null
Research Assistant,Academy of Motion Picture Arts and Sciences,Los Angeles,CA,90036,0,0,null,Work with the curatorial team to provide research and support all aspects of content creation for the exhibition as well as digital projects developed in…
Representative,Southwest Gas,Victorville,CA,92395,15.93,20.94,hour,Complete clerical functions involving moderately complex typing and/or statistical reporting.This position must have knowledge of general office procedures;…
Education Program Specialist,US Ames Research Center,Edwards AFB,AF,null,91254,150703,year,U.S. Citizens Nationals or those who owe allegiance to the U.S.  
Sports Scientist,Red Bull,Santa Monica,CA,null,0,0,null,Innovation: contribute to performance science-based investigations/projects/research in the field to support the needs of Red Bull athletes.
LIBRARY ASSISTANT,City of Newport Beach CA,Newport Beach,CA,null,23.99,33.71,hour,License/Certificate: Possession of or ability to obtain an appropriate valid California driver's license.This position is Part-time/Seasonal and is provided…
Content Moderator I Contract,WEBTOON Entertainment,Los Angeles,CA,90036,0,0,null,This is a remote part-time contract role.Past moderation experience is preferred but not required.Native-level or near native proficiency in English.
Unit Aide,Valley Children's Healthcare,Madera,CA,93636,0,0,null,This position is accountable for maintaining equipment and supplies and performing cleaning 
tasks to maintain a productive and clean environment.
